InChIKey,BRYU005:RT (min),diffRETENTIONTIME
AGPKZVBTJJNPAG-UHFFFAOYSA-N,7.088125999999999,0.08994100000000049
AUNGANRZJHBGPY-SCRDCRAPSA-N,6.188773599999999,0.19365659999999973
AYFVYJQAPQTCCC-UHFFFAOYSA-N,8.326652000000001,0.1149350000000009
BPMFZUMJYQTVII-UHFFFAOYSA-N,,
COLNVLDHVKWLRT-UHFFFAOYSA-N,6.9564357,0.09236870000000064
CQOVPNPJLQNMDC-ZETCQYMHSA-N,9.621133,0.08416700000000077
CVSVTCORWBXHQV-UHFFFAOYSA-N,8.134265,0.10486499999999843
CWLQUGTUXBXTLF-UHFFFAOYSA-N,,
CYZKJBZEIFWZSR-LURJTMIESA-N,9.034632,0.19813499999999884
CZMRCDWAGMRECN-UGDNZRGBSA-N,,
DCXYFEDJOCDNAF-REOHCLBHSA-N,8.805544,0.15385999999999989
DDRJAANPRJIHGJ-UHFFFAOYSA-N,4.951712000000001,0.11897900000000039
DFPAKSUCGFBDDF-UHFFFAOYSA-N,1.7589525000000001,0.002802500000000041
DTERQYGMUDWYAZ-ZETCQYMHSA-N,8.134265,0.10744899999999902
DZGWFCGJZKJUFP-UHFFFAOYSA-N,5.6702185,0.08716849999999976
DZTHIGRZJZPRDV-GFCCVEGCSA-N,2.7527854,0.10354760000000018
FDGQSTZJBFJUBT-UHFFFAOYSA-N,5.0087589999999995,0.17377599999999926
FEMXZDUTFRTWPE-UHFFFAOYSA-N,7.3508782,0.1754282000000007
FONIWJIDLJEJTL-UHFFFAOYSA-N,,
GFFGJBXGBJISGV-UHFFFAOYSA-N,4.7100306,0.1163975999999991
GFYLSDSUCHVORB-IOSLPCCCSA-N,,
GHOKWGTUZJEAQD-UHFFFAOYSA-N,3.4679908999999998,0.03364210000000023
GUBGYTABKSRVRQ-QUYVBRFLSA-N,,
HCZHHEIFKROPDY-UHFFFAOYSA-N,6.2891693,0.14350230000000064
HJSLFCCWAKVHIW-UHFFFAOYSA-N,1.6183769,0.16837689999999994
HNDVDQJCIGZPNO-YFKPBYRVSA-N,9.444283500000001,0.03531650000000042
HNXQXTQTPAJEJL-UHFFFAOYSA-N,5.332957700000001,0.012524700000000166
HZAXFHJVJLSVMW-UHFFFAOYSA-N,7.3249854999999995,0.17566849999999956
IAZDPXIOMUYVGZ-UHFFFAOYSA-N,1.6477394,0.06229360000000006
JDHILDINMRGULE-UHFFFAOYSA-N,9.475971000000001,0.06723800000000146
JFLIEFSWGNOPJJ-JTQLQIEISA-N,6.005226,0.15522600000000075
JSJWCHRYRHKBBW-UHFFFAOYSA-N,5.5407434,0.0294395999999999
JZRWCGZRTZMZEH-UHFFFAOYSA-N,6.883717999999999,0.02491500000000091
KBOJOGQFRVVWBH-ZETCQYMHSA-N,8.175699,0.10363300000000031
KDXKERNSBIXSRK-YFKPBYRVSA-N,9.621133,0.07864999999999966
KSPIYJQBLVDRRI-WDSKDSINSA-N,6.622689200000001,0.18135620000000063
KSPQDMRTZZYQLM-UHFFFAOYSA-N,3.8661306000000004,0.14121939999999933
KWIUHFFTVRNATP-UHFFFAOYSA-N,7.238487200000001,0.1015542000000007
LDHMAVIPBRSVRG-UHFFFAOYSA-O,6.2472367,0.08095370000000024
LEVWYRKDKASIDU-IMJSIDKUSA-N,9.978972,0.009071999999999747
LMIQERWZRIFWNZ-UHFFFAOYSA-N,1.3748156,0.11892270000000016
LNQVTSROQXJCDD-KQYNXXCUSA-N,,
LOIYMIARKYCTBW-OWOJBTEDSA-N,3.6264038,0.06284620000000007
MEFKEPWMEQBLKI-AIRLBKTGSA-N,9.781998,0.08291499999999985
MTCFGRXMJLQNBG-UHFFFAOYSA-N,8.72503,0.0786800000000003
MXNRLFUSFKVQSK-UHFFFAOYSA-N,9.283844,0.05384399999999978
MYYIAHXIVFADCU-QMMMGPOBSA-N,9.574589,0.08875600000000006
NIDVTARKFBZMOT-PEBGCTIMSA-N,,
NOFNCLGCUJJPKU-UHFFFAOYSA-N,,
NTYJJOPFIAHURM-UHFFFAOYSA-N,8.338524000000001,0.018524000000001095
NWGZOALPWZDXNG-UHFFFAOYSA-N,9.003376,0.08695900000000023
ODKSFYDXXFIFQN-BYPYZUCNSA-N,9.542111,0.10621100000000006
OEYIOHPDSNJKLS-UHFFFAOYSA-N,5.1753054,0.052144600000000096
OIRDTQYFTABQOQ-KQYNXXCUSA-N,,
OIVLITBTBDPEFK-UHFFFAOYSA-N,,
ONPXCLZMBSJLSP-CSMHCCOUSA-N,8.658227,0.13011099999999942
OPVPGKGADVGKTG-UHFFFAOYSA-N,,
PFNFFQXMRSDOHW-UHFFFAOYSA-N,,
PFWLFWPASULGAN-UHFFFAOYSA-N,3.6453233,0.06246045000000011
PFWQSHXPNKRLIV-UHFFFAOYSA-N,3.0915687000000003,0.13848569999999993
PHIQHXFUZVPYII-UHFFFAOYSA-N,7.8383727,0.16790570000000038
PMZDQRJGMBOQBF-UHFFFAOYSA-N,1.7999406000000002,0.10749060000000021
PQNASZJZHFPQLE-UHFFFAOYSA-N,,
PRJKNHOMHKJCEJ-UHFFFAOYSA-N,7.970499,0.0518020460000006
PWKSKIMOESPYIA-BYPYZUCNSA-N,,
QFDRTQONISXGJA-UHFFFAOYSA-N,6.0471163,0.076214317999999
QIAFMBKCNZACKA-UHFFFAOYSA-N,3.022586,0.0525859999999998
QIVBCDIJIAJPQS-UHFFFAOYSA-N,6.9084644,0.08933139999999984
RDHQFKQIGNGIED-UHFFFAOYSA-N,7.1987309999999995,0.005147999999999264
RDPUKVRQKWBSPK-ZOQUXTDFSA-N,7.1576114,0.16657740000000043
ROHFNLRQFUQHCH-UHFFFAOYSA-N,,
RSPURTUNRHNVGF-IOSLPCCCSA-N,5.643605,0.1291549999999999
RWSXRVCMGQZWBV-UHFFFAOYSA-N,,
RYYVLZVUVIJVGH-UHFFFAOYSA-N,,
RZJCFLSPBDUNDH-ZOQUXTDFSA-N,,
SLEHROROQDYRAW-KQYNXXCUSA-N,,
SNCKGJWJABDZHI-ZKWXMUAHSA-N,,
SUHOQUVVVLNYQR-MRVPVSSYSA-N,8.649168,0.001298999999999495
SZJNCZMRZAUNQT-IUCAKERBSA-N,1.3282498,0.04238279999999994
TUHVEAJXIMEOSA-UHFFFAOYSA-N,,
UFAHZIUFPNSHSL-MRVPVSSYSA-N,6.383858999999999,0.1722740000000007
UTAIYTHAJQNQDW-KQYNXXCUSA-N,,
UYPYRKYUKCHHIB-UHFFFAOYSA-N,5.5505824,0.10180140000000026
UYTPUPDQBNUYGX-UHFFFAOYSA-N,6.552459,0.14927599999999952
